Elapsed [1:02:10], Iteration [36500/1000000], G/loss_id: 4.9230, G/loss_id_psnt: 4.9061, G/loss_cd: 0.0430, mvg_avg: 0.0377
Elapsed [1:03:01], Iteration [37000/1000000], G/loss_id: 5.1606, G/loss_id_psnt: 5.1476, G/loss_cd: 0.0401, mvg_avg: 0.0378
Elapsed [1:03:52], Iteration [37500/1000000], G/loss_id: 3.6689, G/loss_id_psnt: 3.6647, G/loss_cd: 0.0307, mvg_avg: 0.0385
Elapsed [1:04:43], Iteration [38000/1000000], G/loss_id: 7.6836, G/loss_id_psnt: 7.6829, G/loss_cd: 0.0411, mvg_avg: 0.0357
Elapsed [1:05:35], Iteration [38500/1000000], G/loss_id: 2.8762, G/loss_id_psnt: 2.8756, G/loss_cd: 0.0332, mvg_avg: 0.0362
Elapsed [1:06:26], Iteration [39000/1000000], G/loss_id: 4.1441, G/loss_id_psnt: 4.1374, G/loss_cd: 0.0378, mvg_avg: 0.0380
Elapsed [1:07:17], Iteration [39500/1000000], G/loss_id: 3.7602, G/loss_id_psnt: 3.7621, G/loss_cd: 0.0354, mvg_avg: 0.0385
Elapsed [1:08:08], Iteration [40000/1000000], G/loss_id: 3.9330, G/loss_id_psnt: 3.8927, G/loss_cd: 0.0371, mvg_avg: 0.0358
Elapsed [1:09:01], Iteration [40500/1000000], G/loss_id: 3.0573, G/loss_id_psnt: 3.0544, G/loss_cd: 0.0294, mvg_avg: 0.0374
Elapsed [1:09:52], Iteration [41000/1000000], G/loss_id: 6.8244, G/loss_id_psnt: 6.8234, G/loss_cd: 0.0426, mvg_avg: 0.0369
Elapsed [1:10:44], Iteration [41500/1000000], G/loss_id: 4.8755, G/loss_id_psnt: 4.8686, G/loss_cd: 0.0318, mvg_avg: 0.0376
Elapsed [1:11:35], Iteration [42000/1000000], G/loss_id: 3.5954, G/loss_id_psnt: 3.6006, G/loss_cd: 0.0318, mvg_avg: 0.0381
Elapsed [1:12:26], Iteration [42500/1000000], G/loss_id: 5.9957, G/loss_id_psnt: 5.9762, G/loss_cd: 0.0407, mvg_avg: 0.0372
Elapsed [1:13:17], Iteration [43000/1000000], G/loss_id: 3.8479, G/loss_id_psnt: 3.8376, G/loss_cd: 0.0332, mvg_avg: 0.0354
Elapsed [1:14:09], Iteration [43500/1000000], G/loss_id: 12.6310, G/loss_id_psnt: 12.6288, G/loss_cd: 0.0656, mvg_avg: 0.0373
Elapsed [1:15:00], Iteration [44000/1000000], G/loss_id: 3.8582, G/loss_id_psnt: 3.8448, G/loss_cd: 0.0314, mvg_avg: 0.0366
Elapsed [1:15:51], Iteration [44500/1000000], G/loss_id: 3.2876, G/loss_id_psnt: 3.2814, G/loss_cd: 0.0321, mvg_avg: 0.0370
Elapsed [1:16:42], Iteration [45000/1000000], G/loss_id: 4.5205, G/loss_id_psnt: 4.5042, G/loss_cd: 0.0383, mvg_avg: 0.0379
Elapsed [1:17:33], Iteration [45500/1000000], G/loss_id: 3.1309, G/loss_id_psnt: 3.1343, G/loss_cd: 0.0289, mvg_avg: 0.0369
Elapsed [1:18:24], Iteration [46000/1000000], G/loss_id: 3.9340, G/loss_id_psnt: 3.9141, G/loss_cd: 0.0405, mvg_avg: 0.0370
Elapsed [1:19:16], Iteration [46500/1000000], G/loss_id: 2.2054, G/loss_id_psnt: 2.1924, G/loss_cd: 0.0289, mvg_avg: 0.0373
Elapsed [1:20:07], Iteration [47000/1000000], G/loss_id: 3.7160, G/loss_id_psnt: 3.7029, G/loss_cd: 0.0242, mvg_avg: 0.0354
Elapsed [1:20:58], Iteration [47500/1000000], G/loss_id: 2.2599, G/loss_id_psnt: 2.2489, G/loss_cd: 0.0314, mvg_avg: 0.0360
Elapsed [1:21:49], Iteration [48000/1000000], G/loss_id: 2.9146, G/loss_id_psnt: 2.9061, G/loss_cd: 0.0300, mvg_avg: 0.0359
Elapsed [1:22:40], Iteration [48500/1000000], G/loss_id: 5.1096, G/loss_id_psnt: 5.1089, G/loss_cd: 0.0335, mvg_avg: 0.0367
Elapsed [1:23:31], Iteration [49000/1000000], G/loss_id: 7.7404, G/loss_id_psnt: 7.7343, G/loss_cd: 0.0424, mvg_avg: 0.0370
Elapsed [1:24:22], Iteration [49500/1000000], G/loss_id: 2.6266, G/loss_id_psnt: 2.6259, G/loss_cd: 0.0318, mvg_avg: 0.0364
Elapsed [1:25:14], Iteration [50000/1000000], G/loss_id: 10.3979, G/loss_id_psnt: 10.3944, G/loss_cd: 0.0612, mvg_avg: 0.0363
Elapsed [1:26:07], Iteration [50500/1000000], G/loss_id: 6.2452, G/loss_id_psnt: 6.2567, G/loss_cd: 0.0347, mvg_avg: 0.0365
Elapsed [1:26:59], Iteration [51000/1000000], G/loss_id: 4.6781, G/loss_id_psnt: 4.6554, G/loss_cd: 0.0357, mvg_avg: 0.0364
Elapsed [1:27:51], Iteration [51500/1000000], G/loss_id: 7.8624, G/loss_id_psnt: 7.8513, G/loss_cd: 0.0476, mvg_avg: 0.0354
